Haul.no,Haul,Moc,Net.no,Season,Location,Station,Transect,no.individuals.raw,family,species,split.mult,no.individuals,volume.filtered.m3,concentration.1000m3,notes
,109,4,0,winter,TR,5,MaN,1,Cottidae,Hemilepodotus spp.,1,1,,,
,109,4,0,winter,TR,5,MaN,3,Cyclopteridae,Liparis fucensis,1,3,,,
,109,4,0,winter,TR,5,MaN,2,Pleuronectidae,Parophrys vetulus,1,2,,,with EC's fish
,109,4,0,winter,TR,5,MaN,1,unknown,Damaged,1,1,,,
109-4-1,109,4,1,winter,TR,5,MaN,1,Bathylagidae,Lipolagus ochotensis,1,1,,,
,109,4,1,winter,TR,5,MaN,3,Myctophidae,Stenobrachius leucopsarus,1,3,,,juveniles
,109,4,1,winter,TR,5,MaN,7,Myctophidae,Protomyctophum crockeri,1,7,,,
,109,4,1,winter,TR,5,MaN,1,Myctophidae,Tarletonbeania crenularis,1,1,,,juvenile
,109,4,1,winter,TR,5,MaN,1,Cyclopteridae,Liparis fucensis,1,1,,,
,109,4,1,winter,TR,5,MaN,1,unknown,Unknown,1,1,,,juvenile fish
109-4-2,109,4,2,winter,TR,5,MaN,9,Myctophidae,Stenobrachius leucopsarus,1,9,,,
,109,4,2,winter,TR,5,MaN,2,Scorpaenidae,Sebastes spp.,1,2,,,With CR's fish
,109,4,2,winter,TR,5,MaN,1,Hexagrammidae,Ophiodon elongatus,1,1,,,
,109,4,2,winter,TR,5,MaN,3,Cyclopteridae,Liparis spp.,1,3,,,
,109,4,2,winter,TR,5,MaN,1,Pleuronectidae,Parophrys vetulus,1,1,,,with EC's fish
,109,4,2,winter,TR,5,MaN,1,unknown,Damaged,1,1,,,
109-4-3,109,4,3,winter,TR,5,MaN,2,Myctophidae,Stenobrachius leucopsarus,1,2,,,
,109,4,3,winter,TR,5,MaN,29,Scorpaenidae,Sebastes spp.,1,29,,,With CR's fish
,109,4,3,winter,TR,5,MaN,3,Hexagrammidae,Ophiodon elongatus,1,3,,,
,109,4,3,winter,TR,5,MaN,5,Cottidae,Scorpaenichthys marmoratus,1,5,,,
,109,4,3,winter,TR,5,MaN,4,Cyclopteridae,Liparis fucensis,1,4,,,
,109,4,3,winter,TR,5,MaN,7,Pleuronectidae,Parophrys vetulus,1,7,,,with EC's fish
,109,4,3,winter,TR,5,MaN,2,unknown,Unknown,1,2,,,"some damage, interesting pigment"
,109,4,3,winter,TR,5,MaN,2,unknown,Damaged,1,2,,,
109-4-4,109,4,4,winter,TR,5,MaN,18,Scorpaenidae,Sebastes spp.,1,18,,,With CR's fish
,109,4,4,winter,TR,5,MaN,13,Cottidae,Scorpaenichthys marmoratus,1,13,,,
,109,4,4,winter,TR,5,MaN,4,unknown,Damaged,1,4,,,
110-1-oblique,110,1,oblique,winter,TR,5,MaD,1,Bathylagidae,Lipolagus ochotensis,NA,2,1506.89,1.327236892,
,110,1,oblique,winter,TR,5,MaD,2,Myctophidae,Protomyctophum crockeri,NA,4,1506.89,2.654473784,
,110,1,oblique,winter,TR,5,MaD,1,Myctophidae,Tarletonbeania crenularis,NA,2,1506.89,1.327236892,
,110,1,oblique,winter,TR,5,MaD,17,Scorpaenidae,Sebastes spp.,NA,25,1506.89,16.59046115,With CR's fish
,110,1,oblique,winter,TR,5,MaD,1,Pleuronectidae,Parophrys vetulus,NA,2,1506.89,1.327236892,with EC's fish
,110,1,oblique,winter,TR,5,MaD,5,unknown,Damaged,NA,7,1506.89,4.645329122,
110-1-0*,110,1,0*,winter,TR,5,MaD,1,Bathylagidae,Lipolagus ochotensis,NA,NA,NA,NA,
,110,1,0*,winter,TR,5,MaD,1,Myctophidae,Stenobrachius leucopsarus,NA,NA,NA,NA,
,110,1,0*,winter,TR,5,MaD,1,Myctophidae,Tarletonbeania crenularis,NA,NA,NA,NA,
,110,1,0*,winter,TR,5,MaD,9,Scorpaenidae,Sebastes spp.,NA,NA,NA,NA,With CR's fish
,110,1,0*,winter,TR,5,MaD,1,Pleuronectidae,Parophrys vetulus,NA,NA,NA,NA,with EC's fish
,110,1,0*,winter,TR,5,MaD,1,unknown,Damaged,NA,NA,NA,NA,
110-1-4*,110,1,4*,winter,TR,5,MaD,0,no fish,no fish,NA,NA,NA,NA,
110-4-oblique,110,4,oblique,winter,TR,5,MaD,3,Bathylagidae,Lipolagus ochotensis,1,3,6027.56,0.4977138345,
,110,4,oblique,winter,TR,5,MaD,3,Myctophidae,Protomyctophum crockeri,1,3,6027.56,0.4977138345,
,110,4,oblique,winter,TR,5,MaD,2,Myctophidae,Tarletonbeania crenularis,1,2,6027.56,0.331809223,
,110,4,oblique,winter,TR,5,MaD,2,Scorpaenidae,Sebastes spp.,1,2,6027.56,0.331809223,With CR's fish
,110,4,oblique,winter,TR,5,MaD,1,Pleuronectidae,Pleuronichthys decurrens,1,1,6027.56,0.1659046115,
,110,4,oblique,winter,TR,5,MaD,5,Cyclopteridae,Liparis fucensis,1,5,6027.56,0.8295230574,
,110,4,oblique,winter,TR,5,MaD,1,Pleuronectidae,Psettichthys melanostictus,1,1,6027.56,0.1659046115,
,110,4,oblique,winter,TR,5,MaD,4,Osmeridae,Unknown,1,4,6027.56,0.6636184459,
,110,4,oblique,winter,TR,5,MaD,1,unknown,Damaged,1,1,6027.56,0.1659046115,
111-1-oblique,111,1,oblique,winter,TR,3,MaD,1,Bathylagidae,Lipolagus ochotensis,NA,2,2217.81,0.901790505,
,111,1,oblique,winter,TR,3,MaD,17,Myctophidae,Stenobrachius leucopsarus,NA,24,2217.81,10.82148606,
,111,1,oblique,winter,TR,3,MaD,1,Myctophidae,Protomyctophum crockeri,NA,2,2217.81,0.901790505,
,111,1,oblique,winter,TR,3,MaD,2,Myctophidae,Tarletonbeania crenularis,NA,4,2217.81,1.80358101,
,111,1,oblique,winter,TR,3,MaD,161,Scorpaenidae,Sebastes spp.,NA,239,2217.81,107.7639654,With CR's fish
,111,1,oblique,winter,TR,3,MaD,3,Pleuronectidae,Lyopsetta exilis,NA,3,2217.81,1.352685758,
111-1-0*,111,1,0*,winter,TR,3,MaD,2,Bathylagidae,Lipolagus ochotensis,NA,NA,NA,NA,
,111,1,0*,winter,TR,3,MaD,3,Myctophidae,Stenobrachius leucopsarus,NA,NA,NA,NA,
,111,1,0*,winter,TR,3,MaD,5,Myctophidae,Tarletonbeania crenularis,NA,NA,NA,NA,
,111,1,0*,winter,TR,3,MaD,51,Scorpaenidae,Sebastes spp.,NA,NA,NA,NA,With CR's fish
,111,1,0*,winter,TR,3,MaD,1,Pleuronectidae,Lyopsetta exilis,NA,NA,NA,NA,
111-1-4*,111,1,4*,winter,TR,3,MaD,0,no fish,no fish,NA,NA,NA,NA,
111-4-oblique,111,4,oblique,winter,TR,3,MaD,2,Bathylagidae,Lipolagus ochotensis,1,2,8871.25,0.2254473721,
,111,4,oblique,winter,TR,3,MaD,5,Myctophidae,Stenobrachius leucopsarus,1,5,8871.25,0.5636184303,
,111,4,oblique,winter,TR,3,MaD,3,Myctophidae,Protomyctophum crockeri,1,3,8871.25,0.3381710582,
,111,4,oblique,winter,TR,3,MaD,3,Myctophidae,Tarletonbeania crenularis,1,3,8871.25,0.3381710582,
,111,4,oblique,winter,TR,3,MaD,9,Scorpaenidae,Sebastes spp.,1,9,8871.25,1.014513175,With CR's fish
,111,4,oblique,winter,TR,3,MaD,1,Paralichthyidae,Citharichthys stigmaeus,1,1,8871.25,0.1127236861,
,111,4,oblique,winter,TR,3,MaD,1,Macrouridae,Unknown,1,1,8871.25,0.1127236861,
112-1-oblique,112,1,oblique,winter,TR,2,MaD,2,Myctophidae,Stenobrachius leucopsarus,NA,2,997.08,2.005857103,
,112,1,oblique,winter,TR,2,MaD,5,Myctophidae,Tarletonbeania crenularis,NA,5,997.08,5.014642757,
,112,1,oblique,winter,TR,2,MaD,126,Scorpaenidae,Sebastes spp.,NA,126,997.08,126.3689975,With CR's fish
,112,1,oblique,winter,TR,2,MaD,2,unknown,Damaged,NA,2,997.08,2.005857103,
112-1-4*,112,1,4*,winter,TR,2,MaD,0,no fish,no fish,NA,NA,NA,NA,
112-4-oblique,112,4,oblique,winter,TR,2,MaD,1,Bathylagidae,Lipolagus ochotensis,1,1,3988.32,0.2507321378,
,112,4,oblique,winter,TR,2,MaD,3,Myctophidae,Stenobrachius leucopsarus,1,3,3988.32,0.7521964135,
,112,4,oblique,winter,TR,2,MaD,1,Scorpaenidae,Sebastes spp.,1,1,3988.32,0.2507321378,With CR's fish
,112,4,oblique,winter,TR,2,MaD,1,Cyclopteridae,Liparis fucensis,1,1,3988.32,0.2507321378,
113-1-oblique,113,1,oblique,winter,TR,1,MaD,2,Bathylagidae,Lipolagus ochotensis,NA,4,660.72,6.054001695,
,113,1,oblique,winter,TR,1,MaD,1,Myctophidae,Tarletonbeania crenularis,NA,2,660.72,3.027000848,
,113,1,oblique,winter,TR,1,MaD,4,Scorpaenidae,Sebastes spp.,NA,8,660.72,12.10800339,With CR's fish
,113,1,oblique,winter,TR,1,MaD,1,unknown,Damaged,NA,1,660.72,1.513500424,
113-1-0*,113,1,0*,winter,TR,1,MaD,1,Scorpaenidae,Sebastes spp.,NA,NA,NA,NA,With CR's fish
113-1-4*,113,1,4*,winter,TR,1,MaD,0,no fish,no fish,NA,NA,NA,NA,
113-4-oblique,113,4,oblique,winter,TR,1,MaD,1,Bathylagidae,Lipolagus ochotensis,1,1,2642.86,0.3783779693,
,113,4,oblique,winter,TR,1,MaD,6,Myctophidae,Protomyctophum crockeri,1,6,2642.86,2.270267816,
,113,4,oblique,winter,TR,1,MaD,1,Scorpaenidae,Sebastes spp.,1,1,2642.86,0.3783779693,With CR's fish
,113,4,oblique,winter,TR,1,MaD,2,Cyclopteridae,Liparis fucensis,1,2,2642.86,0.7567559386,
,113,4,oblique,winter,TR,1,MaD,1,Cottidae,Artedius spp.,1,1,2642.86,0.3783779693,
,113,4,oblique,winter,TR,1,MaD,4,unknown,Damaged,1,4,2642.86,1.513511877,
114-1-oblique,114,1,oblique,winter,NH,5,MbD,2,Bathylagidae,Lipolagus ochotensis,NA,3,1237.01,2.425202707,
,114,1,oblique,winter,NH,5,MbD,25,Myctophidae,Stenobrachius leucopsarus,NA,46,1237.01,37.1864415,
,114,1,oblique,winter,NH,5,MbD,1,Myctophidae,Protomyctophum crockeri,NA,2,1237.01,1.616801804,
,114,1,oblique,winter,NH,5,MbD,2,Myctophidae,Tarletonbeania crenularis,NA,3,1237.01,2.425202707,
,114,1,oblique,winter,NH,5,MbD,139,Scorpaenidae,Sebastes spp.,NA,244,1237.01,197.2498201,With CR's fish
,114,1,oblique,winter,NH,5,MbD,1,Paralichthyidae,Citharichthys sordidus,NA,1,1237.01,0.8084009022,
,114,1,oblique,winter,NH,5,MbD,4,Pleuronectidae,Lyopsetta exilis,NA,8,1237.01,6.467207217,
,114,1,oblique,winter,NH,5,MbD,1,unknown,Unknown,NA,2,1237.01,1.616801804,
,114,1,oblique,winter,NH,5,MbD,2,Paralichthyidae,Citharichthys spp.,NA,4,1237.01,3.233603609,
,114,1,oblique,winter,NH,5,MbD,1,unknown,fish egg(s),NA,2,1237.01,1.616801804,
,114,1,oblique,winter,NH,5,MbD,9,unknown,Damaged,NA,18,1237.01,14.55121624,
114-1-0*,114,1,0*,winter,NH,5,MbD,4,Bathylagidae,Lipolagus ochotensis,NA,NA,NA,NA,
,114,1,0*,winter,NH,5,MbD,9,Myctophidae,Stenobrachius leucopsarus,NA,NA,NA,NA,
,114,1,0*,winter,NH,5,MbD,2,Myctophidae,Tarletonbeania crenularis,NA,NA,NA,NA,
,114,1,0*,winter,NH,5,MbD,130,Scorpaenidae,Sebastes spp.,NA,NA,NA,NA,With CR's fish
,114,1,0*,winter,NH,5,MbD,9,unknown,Damaged,NA,NA,NA,NA,
114-1-4*,114,1,4*,winter,NH,5,MbD,5,Myctophidae,Stenobrachius leucopsarus,NA,NA,NA,NA,
,114,1,4*,winter,NH,5,MbD,8,Scorpaenidae,Sebastes spp.,NA,NA,NA,NA,With CR's fish
114-4-oblique,114,4,oblique,winter,NH,5,MbD,4,Bathylagidae,Lipolagus ochotensis,1,4,4948.02,0.8084041697,
,114,4,oblique,winter,NH,5,MbD,6,Myctophidae,Stenobrachius leucopsarus,1,6,4948.02,1.212606255,
,114,4,oblique,winter,NH,5,MbD,3,Myctophidae,Protomyctophum crockeri,1,3,4948.02,0.6063031273,
,114,4,oblique,winter,NH,5,MbD,10,Myctophidae,Tarletonbeania crenularis,1,10,4948.02,2.021010424,
,114,4,oblique,winter,NH,5,MbD,49,Scorpaenidae,Sebastes spp.,1,49,4948.02,9.902951079,With CR's fish
,114,4,oblique,winter,NH,5,MbD,1,Cyclopteridae,Liparis fucensis,1,1,4948.02,0.2021010424,
,114,4,oblique,winter,NH,5,MbD,3,Paralichthyidae,Citharichthys sordidus,1,3,4948.02,0.6063031273,
,114,4,oblique,winter,NH,5,MbD,3,Pleuronectidae,Glyptocephalus zachirus,1,3,4948.02,0.6063031273,
,114,4,oblique,winter,NH,5,MbD,1,Pleuronectidae,Parophrys vetulus,1,1,4948.02,0.2021010424,with EC's fish
,114,4,oblique,winter,NH,5,MbD,1,unknown,fish egg(s),1,1,4948.02,0.2021010424,
,114,4,oblique,winter,NH,5,MbD,5,unknown,Damaged,1,5,4948.02,1.010505212,
,114,4,oblique,winter,NH,5,MbD,3,Cottidae,Hemilepodotus spinosus,1,3,4948.02,0.6063031273,
,114,4,oblique,winter,NH,5,MbD,1,Paralichthyidae,Citharichthys stigmaeus,1,1,4948.02,0.2021010424,
115-1-oblique,115,1,oblique,winter,NH,3,MbD,4,Bathylagidae,Lipolagus ochotensis,NA,7,1360.11,5.146642551,
,115,1,oblique,winter,NH,3,MbD,4,Myctophidae,Stenobrachius leucopsarus,NA,8,1360.11,5.881877201,
,115,1,oblique,winter,NH,3,MbD,263,Scorpaenidae,Sebastes spp.,NA,493,1360.11,362.4706825,With CR's fish
,115,1,oblique,winter,NH,3,MbD,6,Cyclopteridae,Liparis fucensis,NA,12,1360.11,8.822815802,
,115,1,oblique,winter,NH,3,MbD,1,Paralichthyidae,Citharichthys stigmaeus,NA,2,1360.11,1.4704693,
,115,1,oblique,winter,NH,3,MbD,1,Chauliodontidae,Chauliodus macouni,NA,1,1360.11,0.7352346501,
,115,1,oblique,winter,NH,3,MbD,8,Scorpaenidae,Damaged,NA,14,1360.11,10.2932851,
115-1-0*,115,1,0*,winter,NH,3,MbD,5,Bathylagidae,Lipolagus ochotensis,NA,NA,NA,NA,
,115,1,0*,winter,NH,3,MbD,1,Hexagrammidae,Unknown,NA,NA,NA,NA,NH cannot locate this vial
,115,1,0*,winter,NH,3,MbD,2,Myctophidae,Stenobrachius leucopsarus,NA,NA,NA,NA,
,115,1,0*,winter,NH,3,MbD,1,Myctophidae,Protomyctophum crockeri,NA,NA,NA,NA,
,115,1,0*,winter,NH,3,MbD,1,Myctophidae,Tarletonbeania crenularis,NA,NA,NA,NA,
,115,1,0*,winter,NH,3,MbD,87,Scorpaenidae,Sebastes spp.,NA,NA,NA,NA,With CR's fish
,115,1,0*,winter,NH,3,MbD,1,Pleuronectidae,Parophrys vetulus,NA,NA,NA,NA,with EC's fish
,115,1,0*,winter,NH,3,MbD,1,Cottidae,Hemilepodotus spinosus,NA,NA,NA,NA,
115-1-4*,115,1,4*,winter,NH,3,MbD,4,Scorpaenidae,Sebastes spp.,NA,NA,NA,NA,With CR's fish
115-4-oblique,115,4,oblique,winter,NH,3,MbD,3,Bathylagidae,Lipolagus ochotensis,1,3,5440.43,0.5514270012,
,115,4,oblique,winter,NH,3,MbD,1,Myctophidae,Stenobrachius leucopsarus,1,1,5440.43,0.1838090004,
,115,4,oblique,winter,NH,3,MbD,2,Myctophidae,Tarletonbeania crenularis,1,2,5440.43,0.3676180008,
,115,4,oblique,winter,NH,3,MbD,1,Scorpaenidae,Sebastes spp.,1,1,5440.43,0.1838090004,With CR's fish
,115,4,oblique,winter,NH,3,MbD,12,Cyclopteridae,Liparis fucensis,1,12,5440.43,2.205708005,
,115,4,oblique,winter,NH,3,MbD,1,Paralichthyidae,Citharichthys stigmaeus,1,1,5440.43,0.1838090004,
,115,4,oblique,winter,NH,3,MbD,1,Macrouridae,Unknown,1,1,5440.43,0.1838090004,
116-1-oblique,116,1,oblique,winter,NH,2,MbD,1,Myctophidae,Stenobrachius leucopsarus,NA,1,834.05,1.198968887,
,116,1,oblique,winter,NH,2,MbD,10,Scorpaenidae,Sebastes spp.,NA,11,834.05,13.18865775,With CR's fish
,116,1,oblique,winter,NH,2,MbD,1,Cottidae,Hemilepodotus spinosus,NA,1,834.05,1.198968887,
,116,1,oblique,winter,NH,2,MbD,10,Cyclopteridae,Liparis fucensis,NA,10,834.05,11.98968887,
,116,1,oblique,winter,NH,2,MbD,1,Paralichthyidae,Citharichthys spp.,NA,1,834.05,1.198968887,
,116,1,oblique,winter,NH,2,MbD,2,Paralichthyidae,Citharichthys sordidus,NA,3,834.05,3.59690666,
,116,1,oblique,winter,NH,2,MbD,2,Pleuronectidae,Isopsetta isolepis,NA,4,834.05,4.795875547,
,116,1,oblique,winter,NH,2,MbD,5,Pleuronectidae,Parophrys vetulus,NA,6,834.05,7.193813321,with EC's fish
,116,1,oblique,winter,NH,2,MbD,2,unknown,Unknown,NA,3,834.05,3.59690666,
,116,1,oblique,winter,NH,2,MbD,1,Pleuronectidae,Atherestes stomias,NA,1,834.05,1.198968887,
,116,1,oblique,winter,NH,2,MbD,4,unknown,Damaged,NA,4,834.05,4.795875547,
116-1-4*,116,1,4*,winter,NH,2,MbD,1,Cyclopteridae,Liparis fucensis,NA,NA,NA,NA,
,116,1,4*,winter,NH,2,MbD,1,Pleuronectidae,Parophrys vetulus,NA,NA,NA,NA,with EC's fish
,116,1,4*,winter,NH,2,MbD,1,unknown,Damaged,NA,NA,NA,NA,
116-4-oblique,116,4,oblique,winter,NH,2,MbD,43,Cyclopteridae,Liparis fucensis,1,43,3336.2,12.88891553,
,116,4,oblique,winter,NH,2,MbD,5,Paralichthyidae,Citharichthys sordidus,1,5,3336.2,1.498711108,
,116,4,oblique,winter,NH,2,MbD,14,Pleuronectidae,Parophrys vetulus,1,14,3336.2,4.196391104,with EC's fish
,116,4,oblique,winter,NH,2,MbD,3,Paralichthyidae,Citharichthys stigmaeus,1,3,3336.2,0.8992266651,
,116,4,oblique,winter,NH,2,MbD,2,unknown,Damaged,1,2,3336.2,0.5994844434,
117-1-0,117,1,0,winter,NH,1,MbD,2,Scorpaenidae,Sebastes spp.,2,4,300.55,13.30893362,With CR's fish
,117,1,0,winter,NH,1,MbD,174,Pleuronectidae,Parophrys vetulus,2,348,300.55,1157.877225,with EC's fish
,117,1,0,winter,NH,1,MbD,1,unknown,Unknown,2,2,300.55,6.654466811,"yolk sac, no eye pigment, melanophores dispersed across body surface = too young to ID "
,117,1,0,winter,NH,1,MbD,3,Pleuronectidae,Psettichthys melanostictus,2,6,300.55,19.96340043,
,117,1,0,winter,NH,1,MbD,1,Ammodytidae,Ammodytes spp.,2,2,300.55,6.654466811,
,117,1,0,winter,NH,1,MbD,2,Cottidae,Artedius spp.,2,4,300.55,13.30893362,
,117,1,0,winter,NH,1,MbD,3,Pleuronectidae,Isopsetta isolepis,2,6,300.55,19.96340043,
,117,1,0,winter,NH,1,MbD,2,Osmeridae,Unknown,2,4,300.55,13.30893362,
,117,1,0,winter,NH,1,MbD,2,Stichaeidae,Unknown,2,4,300.55,13.30893362,
117-1-0*,117,1,0*,winter,NH,1,MbD,1,Cottidae,Artedius spp.,NA,NA,NA,NA,
,117,1,0*,winter,NH,1,MbD,3,Pleuronectidae,Isopsetta isolepis,NA,NA,NA,NA,
,117,1,0*,winter,NH,1,MbD,95,Pleuronectidae,Parophrys vetulus,NA,NA,NA,NA,with EC's fish
,117,1,0*,winter,NH,1,MbD,1,Pleuronectidae,Psettichthys melanostictus,NA,NA,NA,NA,
,117,1,0*,winter,NH,1,MbD,1,unknown,Unknown,NA,NA,NA,NA,"tiny, yolk sac, no eye pigment"
,117,1,0*,winter,NH,1,MbD,1,unknown,Damaged,NA,NA,NA,NA,
117-1-3,117,1,3,winter,NH,1,MbD,14,Pleuronectidae,Parophrys vetulus,1,14,230.52,60.7322575,with EC's fish
,117,1,3,winter,NH,1,MbD,1,Cottidae,Artedius spp.,1,1,230.52,4.338018393,
,117,1,3,winter,NH,1,MbD,1,Stichaeidae,Plectobranchus evides,1,1,230.52,4.338018393,
,117,1,3,winter,NH,1,MbD,1,Pleuronectidae,Psettichthys melanostictus,1,1,,,
,117,1,3,winter,NH,1,MbD,3,unknown,Damaged,1,3,,,
,117,1,3,winter,NH,1,MbD,4,unknown,Unknown,1,4,,,"tiny, unpigmented eyes"
117-1-4,117,1,4,winter,NH,1,MbD,18,Pleuronectidae,Parophrys vetulus,2,36,237.48,151.591713,with EC's fish
,117,1,4,winter,NH,1,MbD,2,unknown,Unknown,2,4,237.48,16.84352367,"one is very young, not able to ID. The other is in a chaetognath gut"
117-1-4*,117,1,4*,winter,NH,1,MbD,2,Pleuronectidae,Unknown,NA,NA,NA,NA,"tiny, little pigment"
,117,1,4*,winter,NH,1,MbD,22,Pleuronectidae,Parophrys vetulus,NA,NA,NA,NA,with EC's fish
,117,1,4*,winter,NH,1,MbD,2,Cottidae,Artedius spp.,NA,NA,NA,NA,
117-4-0,117,4,0,winter,NH,1,MbD,1,Hexagrammidae,Ophiodon elongatus,1,1,1202.18,0.8318221897,
,117,4,0,winter,NH,1,MbD,1,Cottidae,Radulinus asprellus,1,1,1202.18,0.8318221897,
,117,4,0,winter,NH,1,MbD,3,Pleuronectidae,Isopsetta isolepis,1,3,1202.18,2.495466569,
,117,4,0,winter,NH,1,MbD,1,Pleuronectidae,Lyopsetta exilis,1,1,1202.18,0.8318221897,
,117,4,0,winter,NH,1,MbD,197,Pleuronectidae,Parophrys vetulus,1,197,1202.18,163.8689714,with EC's fish
,117,4,0,winter,NH,1,MbD,4,Pleuronectidae,Psettichthys melanostictus,1,4,1202.18,3.327288759,
,117,4,0,winter,NH,1,MbD,4,Cottidae,Artedius spp.,1,4,1202.18,3.327288759,
,117,4,0,winter,NH,1,MbD,5,unknown,Damaged,1,5,1202.18,4.159110948,
,117,4,0,winter,NH,1,MbD,2,Stichaeidae,Unknown,1,2,1202.18,1.663644379,
,117,4,0,winter,NH,1,MbD,1,Stichaeidae,Plectobranchus evides,1,1,1202.18,0.8318221897,
117-4-3,117,4,3,winter,NH,1,MbD,1,Cottidae,Radulinus asprellus,1,1,922.07,1.08451636,
,117,4,3,winter,NH,1,MbD,1,Agonidae,Unknown,1,1,922.07,1.08451636,
,117,4,3,winter,NH,1,MbD,1,Cyclopteridae,Liparis fucensis,1,1,922.07,1.08451636,
,117,4,3,winter,NH,1,MbD,1,Pleuronectidae,Parophrys vetulus,1,1,922.07,1.08451636,with EC's fish
,117,4,3,winter,NH,1,MbD,1,Cottidae,Unknown,1,1,922.07,1.08451636,
117-4-4,117,4,4,winter,NH,1,MbD,1,Cyclopteridae,Liparis fucensis,1,1,949.9,1.052742394,
,117,4,4,winter,NH,1,MbD,1,Paralichthyidae,Citharichthys spp.,1,1,949.9,1.052742394,
