haul,haul.number,moc,net.number,date,transect,station,family,genus,species,number.of.individuals.raw,split.multiplier,number.of.individuals.adjusted,volume.filtered.m3,concentration.1000m3,vial.letter,fish.box.location,id.by,notes
306,306-4-0,4,0,2023/2/18,GH,1,Osmeridae,Osmerid spp.,Osmerid spp.,"799 (300, 300, 199)",1,,,,"A, A1, A2",Hatfield,NH,
306,306-4-0,4,0,2023/2/18,GH,1,Pleuronectidae,Parophrys,Parophrys vetulus,45,1,,,,B,Hatfield,NH,
306,306-4-0,4,0,2023/2/18,GH,1,Ammodytidae,Ammodytes,Ammodytes spp.,47,1,,,,C,Hatfield,NH,
306,306-4-0,4,0,2023/2/18,GH,1,Cottidae,Cottid spp.,Cottidae spp.,17,1,,,,D,Hatfield,NH,
306,306-4-0,4,0,2023/2/18,GH,1,Pleuronectidae,Psettichthys,Psettichthys melanostictus,5,1,,,,E,Hatfield,NH,
306,306-4-0,4,0,2023/2/18,GH,1,Pholidae,Pholidae spp.,Pholidae spp.,58,1,,,,F,Hatfield,NH,
306,306-4-0,4,0,2023/2/18,GH,1,Liparidae,Liparis,Liparis spp.,4,1,,,,G,Hatfield,NH,
306,306-4-0,4,0,2023/2/18,GH,1,Pleuronectidae,Isopsetta,Isopsetta isolepis,6,1,,,,H,Hatfield,NH,
306,306-4-0,4,0,2023/2/18,GH,1,Gadidae,Microgadus,Microgadus proximus,1,1,,,,I,Hatfield,NH,
306,306-4-0,4,0,2023/2/18,GH,1,Hexagrammidae,Ophiodon,Ophiodon elongatus,2,1,,,,J,Hatfield,NH,
306,306-4-0,4,0,2023/2/18,GH,1,Damaged,Damaged,Damaged,271,1,,,,K,Hatfield,NH,
306,0306-4-3,4,3,2023/2/18,GH,1,Osmeridae,Osmerid spp.,Osmerid spp.,14,1,14,,#DIV/0!,A,Hatfield,NH,
306,0306-4-3,4,3,2023/2/18,GH,1,Pleuronectidae,Parophrys,Parophrys vetulus,4,1,4,,#DIV/0!,B,Hatfield,NH,
306,0306-4-3,4,3,2023/2/18,GH,1,Ammodytidae,Ammodytes,Ammodytes spp.,1,1,1,,#DIV/0!,C,Hatfield,NH,
306,0306-4-3,4,3,2023/2/18,GH,1,Cottidae,Cottid spp.,Cottidae spp.,3,1,3,,#DIV/0!,E,Hatfield,NH,
306,0306-4-3,4,3,2023/2/18,GH,1,Pholidae,Pholidae spp.,Pholidae spp.,4,1,4,,#DIV/0!,F,Hatfield,NH,
306,0306-4-3,4,3,2023/2/18,GH,1,Damaged,Damaged,Damaged,1,1,1,,#DIV/0!,G,Hatfield,NH,
306,0306-4-4,4,4,2023/2/18,GH,1,Osmeridae,Osmerid spp.,Osmerid spp.,649,1,649,,#DIV/0!,A,Hatfield,NH+EC,
306,0306-4-4,4,4,2023/2/18,GH,1,Pleuronectidae,Parophrys,Parophrys vetulus,160,1,160,,#DIV/0!,B,Hatfield,NH+EC,
306,0306-4-4,4,4,2023/2/18,GH,1,Pleuronectidae,Psettichthys,Psettichthys melanostictus,9,1,9,,#DIV/0!,C,Hatfield,NH+EC,
306,0306-4-4,4,4,2023/2/18,GH,1,Ammodytidae,Ammodytes,Ammodytes spp.,52,1,52,,#DIV/0!,D,Hatfield,NH+EC,
306,0306-4-4,4,4,2023/2/18,GH,1,Liparidae,Liparis,Liparis spp.,7,1,7,,#DIV/0!,E,Hatfield,NH+EC,
306,0306-4-4,4,4,2023/2/18,GH,1,Pleuronectidae,Isopsetta,Isopsetta isolepis,43,1,43,,#DIV/0!,F,Hatfield,NH+EC,
306,0306-4-4,4,4,2023/2/18,GH,1,Damaged,Damaged,Damaged,38,1,38,,#DIV/0!,G,Hatfield,NH+EC,
306,0306-4-4,4,4,2023/2/18,GH,1,Pholidae,Pholidae spp.,Pholidae spp.,57,1,57,,#DIV/0!,H,Hatfield,NH+EC,
306,0306-4-4,4,4,2023/2/18,GH,1,Gadidae,Microgadus,Microgadus proximus,1,1,1,,#DIV/0!,I,Hatfield,NH+EC,
306,0306-4-4,4,4,2023/2/18,GH,1,Hexagrammidae,Hexagrammos,Hexagrammos octogrammus,2,1,2,,#DIV/0!,J,Hatfield,NH+EC,
306,0306-4-4,4,4,2023/2/18,GH,1,Hexagrammidae,Ophiodon,Ophiodon elongatus,4,1,4,,#DIV/0!,K,Hatfield,NH+EC,
306,0306-4-4,4,4,2023/2/18,GH,1,Cottidae,Cottid spp.,Cottidae spp.,46,1,46,,#DIV/0!,L,Hatfield,NH+EC,
307,307-1-0,1,0,2023/2/19,CR,4,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,1,2,,,,A,Hatfield,NH,
307,307-1-0,1,0,2023/2/19,CR,4,Scorpaenidae,Sebastes,Sebastes spp.,1,2,,,,B,Hatfield,NH,
307,307-1-0,1,0,2023/2/19,CR,4,Cottidae,Scorpaenichthys,Scorpaenichthys marmoratus,1,2,,,,C,Hatfield,NH,
307,0307-1-1,1,1,2023/2/19,CR,4,Gadidae,Microgadus,Microgadus proximus,1,1,1,,#DIV/0!,A,Hatfield,NH,
307,0307-1-1,1,1,2023/2/19,CR,4,Scorpaenidae,Sebastes,Sebastes spp.,6,1,6,,#DIV/0!,B,Hatfield,NH,
307,0307-1-1,1,1,2023/2/19,CR,4,Damaged,Damaged,Damaged,1,1,1,,,C,Hatfield,NH,
307,0307-1-2,1,2,2023/2/19,CR,4,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,1,1,1,,#DIV/0!,A,Hatfield,NH,
307,0307-1-2,1,2,2023/2/19,CR,4,Scorpaenidae,Sebastes,Sebastes spp.,1,1,1,,#DIV/0!,B,Hatfield,NH,
307,0307-1-2,1,2,2023/2/19,CR,4,Osmeridae,Osmerid spp.,Osmerid spp.,1,1,1,,#DIV/0!,C,Hatfield,NH,
307,0307-1-3,1,3,2023/2/19,CR,4,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,14,1,14,,#DIV/0!,A,Hatfield,NH,
307,0307-1-3,1,3,2023/2/19,CR,4,Scorpaenidae,Sebastes,Sebastes spp.,6,1,6,,#DIV/0!,B,Hatfield,NH,
307,0307-1-3,1,3,2023/2/19,CR,4,Damaged,Damaged,Damaged,4,1,4,,#DIV/0!,C,Hatfield,NH,
307,0307-1-4,1,4,2023/2/19,CR,4,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,2,2,4,,#DIV/0!,A,Hatfield,NH,
307,0307-1-4,1,4,2023/2/19,CR,4,Scorpaenidae,Sebastes,Sebastes spp.,4,2,8,,#DIV/0!,B,Hatfield,NH,
307,0307-1-4,1,4,2023/2/19,CR,4,Damaged,Damaged,Damaged,2,2,4,,#DIV/0!,C,Hatfield,NH,
307,307-4-0,4,0,2023/2/19,CR,4,Paralichthyidae,Citharichthys,Citharichthys sordidus,1,1,,,,A,Hatfield,NH,
307,307-4-0,4,0,2023/2/19,CR,4,Scorpaenidae,Sebastes,Sebastes spp.,1,1,,,,B,Hatfield,NH,
307,307-4-0,4,0,2023/2/19,CR,4,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,2,1,,,,C,Hatfield,NH,
307,307-4-0,4,0,2023/2/19,CR,4,Unknown,Unknown,Unknown,1,1,,,,D,Hatfield,NH,"mytophid, looks like T. crenularis without pigment"
307,307-4-0,4,0,2023/2/19,CR,4,Damaged,Damaged,Damaged,2,1,,,,E,Hatfield,NH,
307,0307-4-1,4,1,2023/2/19,CR,4,Scorpaenidae,Sebastes,Sebastes spp.,1,1,1,,#DIV/0!,A,Hatfield,NH,
307,0307-4-2,4,2,2023/2/19,CR,4,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,2,1,2,,#DIV/0!,A,Hatfield,NH,
307,0307-4-2,4,2,2023/2/19,CR,4,Bathylagidae,Lipolagus,Lipolagus ochotensis,1,1,1,,#DIV/0!,B,Hatfield,NH,
307,0307-4-3,4,3,2023/2/19,CR,4,Liparidae,Liparis,Liparis spp.,2,1,2,,#DIV/0!,A,Hatfield,NH,
307,0307-4-4,4,4,2023/2/19,CR,4,Liparidae,Liparis,Liparis spp.,1,1,1,,#DIV/0!,A,Hatfield,NH,
307,0307-4-4,4,4,2023/2/19,CR,4,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,1,1,1,,#DIV/0!,B,Hatfield,NH,
308,308-1-0,1,0,2023/2/19,CR,3,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,4,2,,,,A,Hatfield,NH,
308,308-1-0,1,0,2023/2/19,CR,3,Scorpaenidae,Sebastes,Sebastes spp.,79,2,,,,B,Hatfield,NH,
308,308-1-0,1,0,2023/2/19,CR,3,Damaged,Damaged,Damaged,5,2,,,,C,Hatfield,NH,
308,0308-1-1,1,1,2023/2/19,CR,3,Scorpaenidae,Sebastes,Sebastes spp.,53,1,53,,#DIV/0!,A,Hatfield,NH,
308,0308-1-1,1,1,2023/2/19,CR,3,Damaged,Damaged,Damaged,1,1,1,,,B,Hatfield,NH,
308,0308-1-2,1,2,2023/2/19,CR,3,Liparidae,Liparis,Liparis spp.,1,1,1,,#DIV/0!,A,Hatfield,NH,
308,0308-1-2,1,2,2023/2/19,CR,3,Scorpaenidae,Sebastes,Sebastes spp.,32,1,32,,#DIV/0!,B,Hatfield,NH,
308,0308-1-2,1,2,2023/2/19,CR,3,Damaged,Damaged,Damaged,1,1,1,,#DIV/0!,C,Hatfield,NH,
308,0308-1-3,1,3,2023/2/19,CR,3,Liparidae,Liparis,Liparis fucensis,1,1,1,,#DIV/0!,A,Hatfield,NH,
308,0308-1-3,1,3,2023/2/19,CR,3,Scorpaenidae,Sebastes,Sebastes spp.,53,1,53,,#DIV/0!,B,Hatfield,NH,
308,0308-1-3,1,3,2023/2/19,CR,3,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,6,1,6,,#DIV/0!,C,Hatfield,NH,
308,0308-1-3,1,3,2023/2/19,CR,3,Osmeridae,Osmerid spp.,Osmerid spp.,1,1,1,,#DIV/0!,D,Hatfield,NH,
308,0308-1-3,1,3,2023/2/19,CR,3,Damaged,Damaged,Damaged,1,1,1,,#DIV/0!,E,Hatfield,NH,
308,0308-1-4,1,4,2023/2/19,CR,3,Hexagrammidae,Ophiodon,Ophiodon elongatus,1,2,2,,#DIV/0!,A,Hatfield,NH,
308,0308-1-4,1,4,2023/2/19,CR,3,Scorpaenidae,Sebastes,Sebastes spp.,64,2,128,,#DIV/0!,B,Hatfield,NH,
308,0308-1-4,1,4,2023/2/19,CR,3,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,11,2,22,,#DIV/0!,C,Hatfield,NH,
308,0308-1-4,1,4,2023/2/19,CR,3,Damaged,Damaged,Damaged,6,2,12,,#DIV/0!,D,Hatfield,NH,
308,0308-1-4,1,4,2023/2/19,CR,3,Osmeridae,Osmerid spp.,Osmerid spp.,1,2,2,,#DIV/0!,E,Hatfield,NH,
308,308-4-0,4,0,2023/2/19,CR,3,Hexagrammidae,Ophiodon,Ophiodon elongatus,1,1,,,,A,Hatfield,NH,
308,308-4-0,4,0,2023/2/19,CR,3,Scorpaenidae,Sebastes,Sebastes spp.,37,1,,,,B,Hatfield,NH,
308,308-4-0,4,0,2023/2/19,CR,3,Liparidae,Liparis,Liparis spp.,1,1,,,,C,Hatfield,NH,
308,308-4-0,4,0,2023/2/19,CR,3,Osmeridae,Osmerid spp.,Osmerid spp.,1,1,,,,D,Hatfield,NH,
308,308-4-0,4,0,2023/2/19,CR,3,Cottidae,Hemilepidotus,Hemilepidotus spinosus,5,1,,,,E,Hatfield,NH,
308,0308-4-1,4,1,2023/2/19,CR,3,Pleuronectidae,Atheresthes,Atheresthes stomias,1,1,1,,#DIV/0!,A,Hatfield,NH,
308,0308-4-1,4,1,2023/2/19,CR,3,Scorpaenidae,Sebastes,Sebastes spp.,1,1,1,,#DIV/0!,B,Hatfield,NH,
308,0308-4-2,4,2,2023/2/19,CR,3,Liparidae,Liparis,Liparis spp.,2,1,2,,#DIV/0!,A,Hatfield,NH,
308,0308-4-2,4,2,2023/2/19,CR,3,Scorpaenidae,Sebastes,Sebastes spp.,1,1,1,,#DIV/0!,B,Hatfield,NH,
308,0308-4-2,4,2,2023/2/19,CR,3,Myctophidae,Myctophid ,Myctophid spp.,1,1,1,,#DIV/0!,C,Hatfield,NH,
308,0308-4-2,4,2,2023/2/19,CR,3,Pleuronectidae,Atheresthes,Atheresthes stomias,1,1,1,,#DIV/0!,D,Hatfield,NH,
308,0308-4-3,4,3,2023/2/19,CR,3,Liparidae,Liparis,Liparis spp.,7,1,7,,#DIV/0!,A,Hatfield,NH,
308,0308-4-3,4,3,2023/2/19,CR,3,Scorpaenidae,Sebastes,Sebastes spp.,11,1,11,,#DIV/0!,B,Hatfield,NH,
308,0308-4-3,4,3,2023/2/19,CR,3,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,3,1,3,,#DIV/0!,C,Hatfield,NH,
308,0308-4-3,4,3,2023/2/19,CR,3,Pleuronectidae,Atheresthes,Atheresthes stomias,1,1,1,,#DIV/0!,D,Hatfield,NH,
308,0308-4-4,4,4,2023/2/19,CR,3,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,13,1,13,,#DIV/0!,A,Hatfield,NH,
308,0308-4-4,4,4,2023/2/19,CR,3,Scorpaenidae,Sebastes,Sebastes spp.,35,1,35,,#DIV/0!,B,Hatfield,NH,
308,0308-4-4,4,4,2023/2/19,CR,3,Hexagrammidae,Ophiodon,Ophiodon elongatus,1,1,1,,#DIV/0!,C,Hatfield,NH,
308,0308-4-4,4,4,2023/2/19,CR,3,Anoplopomatidae,Anaplopoma,Anaploploma fimbria,1,1,1,,#DIV/0!,D,Hatfield,NH,
308,0308-4-4,4,4,2023/2/19,CR,3,Damaged,Damaged,Damaged,5,1,5,,#DIV/0!,E,Hatfield,NH,
309,309-1-0,1,0,2023/2/19,CR,1,Osmeridae,Osmerid spp.,Osmerid spp.,297,2,,,,A,Hatfield,NH,
309,309-1-0,1,0,2023/2/19,CR,1,Pleuronectidae,Parophrys,Parophrys vetulus,28,2,,,,B,Hatfield,NH,
309,309-1-0,1,0,2023/2/19,CR,1,Pleuronectidae,Isopsetta,Isopsetta isolepis,28,2,,,,C,Hatfield,NH,
309,309-1-0,1,0,2023/2/19,CR,1,Gadidae,Microgadus,Microgadus proximus,23,2,,,,D,Hatfield,NH,
309,309-1-0,1,0,2023/2/19,CR,1,Ammodytidae,Ammodytes,Ammodytes spp.,11,2,,,,E,Hatfield,NH,
309,309-1-0,1,0,2023/2/19,CR,1,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,1,2,,,,F,Hatfield,NH,
309,309-1-0,1,0,2023/2/19,CR,1,Unknown,Unknown,Unknown,13,2,,,,G,Hatfield,NH,unpigmented eyes
309,309-1-0,1,0,2023/2/19,CR,1,Damaged,Damaged,Damaged,3,2,,,,H,Hatfield,NH,
309,0309-1-3,1,3,2023/2/19,CR,1,Osmeridae,Osmerid spp.,Osmerid spp.,61,1,61,,#DIV/0!,A,Hatfield,NH,
309,0309-1-3,1,3,2023/2/19,CR,1,Pleuronectidae,Parophrys,Parophrys vetulus,57,1,57,,#DIV/0!,B,Hatfield,NH,
309,0309-1-3,1,3,2023/2/19,CR,1,Pleuronectidae,Isopsetta,Isopsetta isolepis,40,1,40,,#DIV/0!,C,Hatfield,NH,
309,0309-1-3,1,3,2023/2/19,CR,1,Pleuronectidae,Psettichthys,Psettichthys melanostictus,3,1,3,,#DIV/0!,D,Hatfield,NH,
309,0309-1-3,1,3,2023/2/19,CR,1,Unknown,Unknown,Unknown,57,1,57,,#DIV/0!,E,Hatfield,NH,
309,0309-1-3,1,3,2023/2/19,CR,1,Ammodytidae,Ammodytes,Ammodytes spp.,7,1,7,,#DIV/0!,F,Hatfield,NH,
309,0309-1-3,1,3,2023/2/19,CR,1,Cottidae,Cottid spp.,Cottidae spp.,1,1,1,,#DIV/0!,G,Hatfield,NH,
309,0309-1-3,1,3,2023/2/19,CR,1,Pleuronectidae,Lyopsetta,Lyopsetta exilis,1,1,1,,#DIV/0!,H,Hatfield,NH,
309,0309-1-3,1,3,2023/2/19,CR,1,Damaged,Damaged,Damaged,56,1,56,,#DIV/0!,I,Hatfield,NH,
309,0309-1-4,1,4,2023/2/19,CR,1,Osmeridae,Osmerid spp.,Osmerid spp.,268,2,536,,#DIV/0!,A,Hatfield,NH,
309,0309-1-4,1,4,2023/2/19,CR,1,Pleuronectidae,Parophrys,Parophrys vetulus,56,2,112,,#DIV/0!,B,Hatfield,NH,
309,0309-1-4,1,4,2023/2/19,CR,1,Pleuronectidae,Isopsetta,Isopsetta isolepis,65,2,130,,#DIV/0!,C,Hatfield,NH,
309,0309-1-4,1,4,2023/2/19,CR,1,Ammodytidae,,,7,2,14,,#DIV/0!,D,Hatfield,NH,
309,0309-1-4,1,4,2023/2/19,CR,1,Gadidae,Microgadus,Microgadus proximus,10,2,20,,#DIV/0!,E,Hatfield,NH,
309,0309-1-4,1,4,2023/2/19,CR,1,Pleuronectidae,Psettichthys,Psettichthys melanostictus,1,2,2,,#DIV/0!,F,Hatfield,NH,
309,0309-1-4,1,4,2023/2/19,CR,1,Unknown,Unknown,Unknown,15,2,30,,#DIV/0!,G,Hatfield,NH,
309,0309-1-4,1,4,2023/2/19,CR,1,Damaged,Damaged,Damaged,55,2,110,,#DIV/0!,H,Hatfield,NH,
309,309-4-0,4,0,2023/2/19,CR,1,Osmeridae,Osmerid spp.,Osmerid spp.,155,1,,,,A,Hatfield,NH,
309,309-4-0,4,0,2023/2/19,CR,1,Pleuronectidae,Parophrys,Parophrys vetulus,4,1,,,,B,Hatfield,NH,
309,309-4-0,4,0,2023/2/19,CR,1,Liparidae,Liparis,Liparis fucensis,3,1,,,,C,Hatfield,NH,
309,309-4-0,4,0,2023/2/19,CR,1,Cottidae,Cottid spp.,Cottid spp. ,1,1,,,,D,Hatfield,NH,
309,309-4-0,4,0,2023/2/19,CR,1,Gadidae,Microgadus,Microgadus proximus,1,1,,,,E,Hatfield,NH,
309,309-4-0,4,0,2023/2/19,CR,1,Damaged,Damaged,Damaged,5,1,,,,F,Hatfield,NH,
309,0309-4-3,4,3,2023/2/19,CR,1,Osmeridae,Osmerid spp.,Osmerid spp.,18,1,18,,#DIV/0!,A,Hatfield,NH,
309,0309-4-3,4,3,2023/2/19,CR,1,Damaged,Damaged,Damaged,1,1,1,,#DIV/0!,B,Hatfield,NH,
309,0309-4-4,4,4,2023/2/19,CR,1,Osmeridae,Osmerid spp.,Osmerid spp.,692,1,692,,#DIV/0!,A,Hatfield,NH,
309,0309-4-4,4,4,2023/2/19,CR,1,Pleuronectidae,Psettichthys,Psettichthys melanostictus,7,1,7,,#DIV/0!,B,Hatfield,NH,
309,0309-4-4,4,4,2023/2/19,CR,1,Cottidae,Cottid spp.,Cottidae spp.,4,1,4,,#DIV/0!,C,Hatfield,NH,
309,0309-4-4,4,4,2023/2/19,CR,1,Liparidae,Liparis,Liparis spp.,6,1,6,,#DIV/0!,D,Hatfield,NH,
309,0309-4-4,4,4,2023/2/19,CR,1,Pholidae,Pholidae spp.,Pholidae spp.,3,1,3,,#DIV/0!,E,Hatfield,NH,
309,0309-4-4,4,4,2023/2/19,CR,1,Ammodytidae,Ammodytes,Ammodytes spp.,1,1,1,,#DIV/0!,F,Hatfield,NH,
309,0309-4-4,4,4,2023/2/19,CR,1,Gadidae,Microgadus,Microgadus proximus,1,1,1,,#DIV/0!,G,Hatfield,NH,
309,0309-4-4,4,4,2023/2/19,CR,1,Damaged,Damaged,Damaged,14,1,14,,#DIV/0!,H,Hatfield,NH,
310,310-1-0,1,0,2023/2/19,CR,2,Osmeridae,Osmerid spp.,Osmerid spp.,8,2,,,,A,Hatfield,NH,
310,310-1-0,1,0,2023/2/19,CR,2,Scorpaenidae,Sebastes,Sebastes spp.,5,2,,,,B,Hatfield,NH,
310,310-1-0,1,0,2023/2/19,CR,2,Ammodytidae,Ammodytes,Ammodytes spp.,3,2,,,,C,Hatfield,NH,
310,310-1-0,1,0,2023/2/19,CR,2,Liparidae,Liparis,Liparis fucensis,1,2,,,,D,Hatfield,NH,
310,310-1-0,1,0,2023/2/19,CR,2,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,1,2,,,,E,Hatfield,NH,
310,0310-1-1,1,1,2023/2/19,CR,2,Ammodytidae,Ammodytes,Ammodytes spp.,1,1,1,,#DIV/0!,A,Hatfield,NH,
310,0310-1-1,1,1,2023/2/19,CR,2,Damaged,Damaged,Damaged,2,1,2,,#DIV/0!,B,Hatfield,NH,
310,0310-1-2,1,2,2023/2/19,CR,2,Osmeridae,Osmerid spp.,Osmerid spp.,2,1,2,,#DIV/0!,A,Hatfield,NH,
310,0310-1-2,1,2,2023/2/19,CR,2,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,1,1,1,,#DIV/0!,B,Hatfield,NH,
310,0310-1-2,1,2,2023/2/19,CR,2,Scorpaenidae,Sebastes,Sebastes spp.,4,1,4,,#DIV/0!,C,Hatfield,NH,
310,0310-1-2,1,2,2023/2/19,CR,2,Myctophidae,Protomyctophum,Protomyctophum crockeri,1,1,1,,#DIV/0!,D,Hatfield,NH,
310,0310-1-2,1,2,2023/2/19,CR,2,Unknown,Unknown,Unknown,1,1,1,,#DIV/0!,E,Hatfield,NH,unpigmented eyes
310,0310-1-3,1,3,2023/2/19,CR,2,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,15,1,15,,#DIV/0!,A,Hatfield,NH,
310,0310-1-3,1,3,2023/2/19,CR,2,Scorpaenidae,Sebastes,Sebastes spp.,8,1,8,,#DIV/0!,B,Hatfield,NH,
310,0310-1-3,1,3,2023/2/19,CR,2,Osmeridae,Osmerid spp.,Osmerid spp.,4,1,4,,#DIV/0!,C,Hatfield,NH,
310,0310-1-3,1,3,2023/2/19,CR,2,Ammodytidae,Ammodytes,Ammodytes spp.,1,1,1,,#DIV/0!,D,Hatfield,NH,
310,0310-1-3,1,3,2023/2/19,CR,2,Pleuronectidae,Parophrys,Parophrys vetulus,2,1,2,,#DIV/0!,E,Hatfield,NH,
310,0310-1-3,1,3,2023/2/19,CR,2,Unknown,Unknown,Unknown,2,1,2,,#DIV/0!,F,Hatfield,NH,Unpigmented eyes
310,0310-1-3,1,3,2023/2/19,CR,2,Damaged,Damaged,Damaged,10,1,10,,#DIV/0!,G,Hatfield,NH,
310,0310-1-4,1,4,2023/2/19,CR,2,Ammodytidae,Ammodytes,Ammodytes spp.,25,2,50,,#DIV/0!,A,Hatfield,NH,
310,0310-1-4,1,4,2023/2/19,CR,2,Osmeridae,Osmerid spp.,Osmerid spp.,73,2,146,,#DIV/0!,B,Hatfield,NH,
310,0310-1-4,1,4,2023/2/19,CR,2,Pleuronectidae,Parophrys,Parophrys vetulus,5,2,10,,#DIV/0!,C,Hatfield,NH,
310,0310-1-4,1,4,2023/2/19,CR,2,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,11,2,22,,#DIV/0!,D,Hatfield,NH,
310,0310-1-4,1,4,2023/2/19,CR,2,Pleuronectidae,Isopsetta,Isopsetta isolepis,14,2,28,,#DIV/0!,E,Hatfield,NH,
310,0310-1-4,1,4,2023/2/19,CR,2,Liparidae,Liparis,Liparis spp.,4,2,8,,#DIV/0!,F,Hatfield,NH,
310,0310-1-4,1,4,2023/2/19,CR,2,Scorpaenidae,Sebastes,Sebastes spp.,1,2,2,,#DIV/0!,G,Hatfield,NH,
310,0310-1-4,1,4,2023/2/19,CR,2,Pleuronectidae,Psettichthys,Psettichthys melanostictus,1,2,2,,#DIV/0!,H,Hatfield,NH,
310,0310-1-4,1,4,2023/2/19,CR,2,Damaged,Damaged,Damaged,8,2,16,,#DIV/0!,I,Hatfield,NH,
310,310-4-0,4,0,2023/2/19,CR,2,Osmeridae,Osmerid spp.,Osmerid spp.,11,1,,,,A,Hatfield,NH,
310,310-4-0,4,0,2023/2/19,CR,2,Ammodytidae,Ammodytes,Ammodytes spp.,5,1,,,,B,Hatfield,NH,
310,310-4-0,4,0,2023/2/19,CR,2,Liparidae,Liparis,Liparis fucensis,3,1,,,,C,Hatfield,NH,
310,310-4-0,4,0,2023/2/19,CR,2,Damaged,Damaged,Damaged,2,1,,,,D,Hatfield,NH,
310,0310-4-1,4,1,2023/2/19,CR,2,Osmeridae,Osmerid spp.,Osmerid spp.,1,1,1,,#DIV/0!,A,Hatfield,NH,
310,0310-4-2,4,2,2023/2/19,CR,2,Osmeridae,Osmerid spp.,Osmerid spp.,1,1,1,,#DIV/0!,A,Hatfield,NH,
310,0310-4-2,4,2,2023/2/19,CR,2,Cottidae,Cottid spp.,Cottidae spp.,1,1,1,,#DIV/0!,B,Hatfield,NH,
310,0310-4-3,4,3,2023/2/19,CR,2,Cottidae,Cottid spp.,Cottidae spp.,1,1,1,,#DIV/0!,A,Hatfield,NH,
310,0310-4-3,4,3,2023/2/19,CR,2,Pleuronectidae,Parophrys,Parophrys vetulus,3,1,3,,#DIV/0!,B,Hatfield,NH,
310,0310-4-3,4,3,2023/2/19,CR,2,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,2,1,2,,#DIV/0!,C,Hatfield,NH,
310,0310-4-4,4,4,2023/2/19,CR,2,Osmeridae,Osmerid spp.,Osmerid spp.,59,1,59,,#DIV/0!,A,Hatfield,NH,
310,0310-4-4,4,4,2023/2/19,CR,2,Pleuronectidae,Parophrys,Parophrys vetulus,4,1,4,,#DIV/0!,B,Hatfield,NH,
310,0310-4-4,4,4,2023/2/19,CR,2,Ammodytidae,Ammodytes,Ammodytes spp.,46,1,46,,#DIV/0!,C,Hatfield,NH,
310,0310-4-4,4,4,2023/2/19,CR,2,Liparidae,Liparis,Liparis spp.,6,1,6,,#DIV/0!,D,Hatfield,NH,
310,0310-4-4,4,4,2023/2/19,CR,2,Pleuronectidae,Isopsetta,Isopsetta isolepis,5,1,5,,#DIV/0!,E,Hatfield,NH,
310,0310-4-4,4,4,2023/2/19,CR,2,Pleuronectidae,Psettichthys,Psettichthys melanostictus,1,1,1,,#DIV/0!,F,Hatfield,NH,
310,0310-4-4,4,4,2023/2/19,CR,2,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,4,1,4,,#DIV/0!,G,Hatfield,NH,
310,0310-4-4,4,4,2023/2/19,CR,2,Scorpaenidae,Sebastes,Sebastes spp.,2,1,2,,#DIV/0!,H,Hatfield,NH,
310,0310-4-4,4,4,2023/2/19,CR,2,Damaged,Damaged,Damaged,9,1,9,,#DIV/0!,I,Hatfield,NH,
315,315-1-0,1,0,2023/2/25,NH,4,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,3,2,,,,A,Hatfield,NH,
315,315-1-0,1,0,2023/2/25,NH,4,Scorpaenidae,Sebastes,Sebastes spp.,50,2,,,,B,Hatfield,NH,
315,315-1-0,1,0,2023/2/25,NH,4,Cottidae,Hemilepidotus,Hemilepidotus spinosus,1,2,,,,C,Hatfield,NH,
315,315-1-0,1,0,2023/2/25,NH,4,Pleuronectidae,Lyopsetta,Lyopsetta exilis,1,2,,,,D,Hatfield,NH,
315,0315-1-1,1,1,2023/2/25,NH,4,Damaged,Damaged,Damaged,2,1,,,,A,Hatfield,NH,
315,0315-1-1,1,1,2023/2/25,NH,4,Scorpaenidae,Sebastes,Sebastes spp.,72,1,,,,B,Hatfield,NH,
315,0315-1-2,1,2,2023/2/25,NH,4,Myctophidae,Stenobrachius,Stenobrachius leucopsarus,1,1,,,,A,Hatfield,NH,
315,0315-1-2,1,2,2023/2/25,NH,4,Scorpaenidae,Sebastes,Sebastes spp.,71,1,,,,B,Hatfield,NH,
315,0315-1-2,1,2,2023/2/25,NH,4,Pleuronectidae,Glyptocephalus,Glyptocephalus zachirus,1,1,,,,C,Hatfield,NH,
